country,male,female,both_sexes
United Republic of Tanzania,4,12.7,8.4
United States of America,35.5,37,36.2
Uruguay,24.9,30.6,27.9
Uzbekistan,13.8,19,16.6
Vanuatu,20.2,30.1,25.2
Venezuela (Bolivarian Republic of),22.4,28.6,25.6
Viet Nam,1.6,2.6,2.1
Yemen,12,22,17.1
Zambia,3.6,12.4,8.1
Zimbabwe,4.7,25.3,15.5
