points_5,points_4,points_3,points_2,points_1
South Island Pied Oystercatcher,Southern Brown Kiwi,The Otago Shag,Yellow-eyed penguin,Blue Duck
Fairy Tern,Black Robin,Mōhua,New Zealand Robin,Yellow-eyed penguin
Yellow-eyed penguin,Kererū,Rifleman,Black Robin,Westland Petrel
Southern Royal Albatross,Yellow-eyed penguin,Antipodean Albatross,Blue Duck,Fiordland Crested Penguin
New Zealand Dabchick,Antipodean Albatross,Fiordland Crested Penguin,Australasian Crested Grebe,Black Robin
Morepork,Fantail,Gibson's Albatross,Kākā,Little Spotted Kiwi
Fantail,Tomtit,Tūī,Kererū,Silvereye
Mōhua,Southern Brown Kiwi,Orange-fronted Parakeet,Kākāpō,Whenua Hou Diving Petrel
Kererū,Kingfisher,Little Penguin,Morepork,Rifleman
Mōhua,Great Spotted Kiwi,Barn Owl,Orange-fronted Parakeet,Kererū
Tomtit,Rifleman,New Zealand Robin,Black Robin,Kōkako
Yellow-eyed penguin,Whenua Hou Diving Petrel,South Island Kōkako,Shore Plover,Antipodean Albatross
New Zealand Falcon,Black Robin,Stitchbird,Black Petrel,Shore Plover
Great Spotted Kiwi,Kākā,Bar-tailed Godwit,Banded Dotterel,Australasian Gannet
Kākā,Saddleback,Tomtit,Weka,Kererū
Wrybill,NA,NA,NA,NA
Kererū,Barn Owl,Little Spotted Kiwi,New Zealand Falcon,Fairy Tern
Great Spotted Kiwi,The Otago Shag,Tūī,Kākāpō,Yellow-eyed penguin
Black Robin,Little Spotted Kiwi,Blue Duck,Fairy Tern,Kererū
New Zealand Dotterel,Banded Dotterel,Black Robin,Kea,Buller's Mollymawk
Fiordland Crested Penguin,Black-fronted Tern,Chatham Island Mollymawk,Shore Plover,Yellow-eyed penguin
Little Penguin,Kākāpō,Southern Brown Kiwi,New Zealand Robin,Mōhua
Black Robin,Yellow-eyed penguin,Mōhua,Kākā,Northern Royal Albatross
Yellow-eyed penguin,Little Penguin,Takahē,NA,NA
Kākāpō,Kea,Kākā,Antipodean Albatross,Kererū
Antipodean Albatross,Barn Owl,Tūī,Yellow-eyed penguin,Fantail
Banded Dotterel,New Zealand Dotterel,Black Stilt,Bittern,Hutton's Shearwater
Kākāpō,North Island Brown Kiwi,Kea,South Island Kōkako,Little Penguin
Kākā,Antipodean Albatross,Banded Dotterel,South Island Kōkako,Kākāpō
Takahē,Fernbird,The Otago Shag,Morepork,Yellow-eyed penguin
Black-billed Gull,Bittern,Banded Dotterel,Yellow-eyed penguin,New Zealand Robin
Fantail,Antipodean Albatross,Fairy Tern,Kingfisher,North Island Brown Kiwi
Black Robin,Banded Dotterel,Bittern,Blue Duck,Yellow-eyed penguin
Yellow-eyed penguin,South Island Kōkako,Mōhua,Southern Brown Kiwi,New Zealand Dotterel
Banded Dotterel,Kōkako,Yellow-eyed penguin,Morepork,Kākā
Rock Wren,Bittern,Fernbird,Kea,Saddleback
Yellow-eyed penguin,Kererū,Fantail,Harrier,Morepork
Yellow-eyed penguin,NA,NA,NA,NA
Kākā,Antipodean Albatross,Fantail,Black Robin,Chatham Island Mollymawk
Black Robin,Fantail,New Zealand Robin,Yellow-eyed penguin,Antipodean Albatross
Yellow-eyed penguin,Kākāpō,Southern Brown Kiwi,Orange-fronted Parakeet,Bittern
Yellow-eyed penguin,NA,NA,NA,NA
Kea,New Zealand Falcon,Kingfisher,Harrier,Fantail
Banded Dotterel,Barn Owl,Bittern,Black Robin,Morepork
New Zealand Dabchick,Australasian Crested Grebe,Gibson's Albatross,New Zealand King Shag,Grey Duck
Kākāpō,Blue Duck,Kākā,Mōhua,Southern Royal Albatross
Fairy Tern,Hutton's Shearwater,Kākā,Kākāpō,Little Spotted Kiwi
Yellow-eyed penguin,Antipodean Albatross,Mōhua,New Zealand Dotterel,Gibson's Albatross
Tūī,Little Penguin,Yellow-eyed penguin,Fiordland Crested Penguin,Kōkako
Kererū,Tūī,Orange-fronted Parakeet,NA,NA
Little Spotted Kiwi,Great Spotted Kiwi,Black Robin,Morepork,Rifleman
Banded Dotterel,Kererū,Mōhua,Orange-fronted Parakeet,Gibson's Albatross
Blue Duck,Takahē,Black Robin,Kākā,Yellow-eyed penguin
Kererū,NA,NA,NA,NA
Yellow-eyed penguin,Little Penguin,Rockhopper Penguin,Black Robin,Kererū
Yellow-eyed penguin,Gibson's Albatross,Orange-fronted Parakeet,Whenua Hou Diving Petrel,Chatham Island Oystercatcher
Kākāpō,Banded Dotterel,Kea,Orange-fronted Parakeet,Yellow-eyed penguin
Yellow-eyed penguin,Little Penguin,Fiordland Crested Penguin,Rockhopper Penguin,Gibson's Albatross
Black-billed Gull,Grey Warbler,Chatham Island Oystercatcher,Fairy Tern,Welcome Swallow
Kererū,NA,NA,NA,NA
Fiordland Crested Penguin,Rockhopper Penguin,Yellow-eyed penguin,Little Penguin,Bellbird
Kākāpō,Orange-fronted Parakeet,Southern Brown Kiwi,Kākā,Chatham Island Mollymawk
Kererū,NA,NA,NA,NA
Silvereye,South Island Kōkako,Kōkako,Kākāpō,Pūkeko
Black Robin,Blue Duck,Chatham Island Mollymawk,Kākāpō,Little Spotted Kiwi
Kākāpō,New Zealand Falcon,Fiordland Crested Penguin,Kea,Yellow-eyed penguin
Morepork,Kākāpō,Tūī,Rock Wren,Kingfisher
Kingfisher,Harrier,Kākāpō,Little Penguin,Welcome Swallow
Black Robin,Blue Duck,Kākāpō,NA,NA
Morepork,Royal Spoonbill,Banded Dotterel,Bar-tailed Godwit,Chatham Island Oystercatcher
Yellow-eyed penguin,Saddleback,South Island Kōkako,Fiordland Crested Penguin,Kōkako
Bellbird,White Heron,Pied Shag,Kingfisher,Pūkeko
Banded Dotterel,Black Stilt,Blue Duck,Chatham Island Mollymawk,Kea
Southern Royal Albatross,Kākāpō,Yellow-eyed penguin,Royal Spoonbill,Mōhua
Kererū,NA,NA,NA,NA
Kākāpō,Blue Duck,Yellow-eyed penguin,Little Spotted Kiwi,Black Robin
New Zealand Falcon,Australasian Gannet,Grey Warbler,Harrier,Silvereye
Yellow-eyed penguin,Kākāpō,Takahē,Kōkako,New Zealand Falcon
Bellbird,NA,NA,NA,NA
Orange-fronted Parakeet,Wrybill,Grey Duck,New Zealand Robin,New Zealand Falcon
Takahē,Yellow-eyed penguin,Stitchbird,Kākāpō,Tūī
Bellbird,NA,NA,NA,NA
Rockhopper Penguin,Little Penguin,Yellow-eyed penguin,Fiordland Crested Penguin,Tūī
Tūī,Pūkeko,Kākā,Fantail,North Island Brown Kiwi
Yellow-eyed penguin,Fantail,Tūī,NA,NA
Banded Dotterel,Black Robin,Blue Duck,Chatham Island Mollymawk,Fiordland Crested Penguin
Blue Duck,Yellow-eyed penguin,Little Spotted Kiwi,Southern Brown Kiwi,Stitchbird
Bittern,NA,NA,NA,NA
New Zealand Dabchick,Wrybill,Spotless Crake,Rock Wren,Blue Duck
Fantail,Kea,Morepork,Tūī,NA
Yellow-eyed penguin,White-faced Heron,Kererū,Black-billed Gull,Rockhopper Penguin
Black Robin,Chatham Island Mollymawk,Gibson's Albatross,Tūī,Kākā
Yellow-eyed penguin,Little Penguin,Fiordland Crested Penguin,Rockhopper Penguin,Antipodean Albatross
Kākāpō,Little Penguin,Morepork,Tūī,Fantail
Black-fronted Tern,Blue Duck,Bittern,Fernbird,Rock Wren
Yellow-eyed penguin,Kākāpō,Black Robin,Antipodean Albatross,Banded Dotterel
Saddleback,Stitchbird,Tūī,Rockhopper Penguin,Silvereye
Kākāpō,Kākā,Kea,Kererū,Blue Duck
Mōhua,Australasian Crested Grebe,Bittern,Shining Cuckoo,Wrybill
Banded Dotterel,Mōhua,Bittern,Orange-fronted Parakeet,Fairy Tern
Kererū,NA,NA,NA,NA
Blue Duck,Shore Plover,Fiordland Crested Penguin,Stitchbird,Saddleback
Yellow-eyed penguin,Little Penguin,Fantail,Fiordland Crested Penguin,Gibson's Albatross
Blue Duck,Fantail,Fiordland Crested Penguin,Kōkako,Little Spotted Kiwi
Yellow-eyed penguin,North Island Brown Kiwi,Fairy Tern,Mōhua,Orange-fronted Parakeet
Banded Dotterel,Black-billed Gull,Gibson's Albatross,New Zealand Dotterel,Black Stilt
Bittern,Blue Duck,Fernbird,Kōkako,Takahē
Yellow-eyed penguin,Antipodean Albatross,Fernbird,Bellbird,Fantail
Kererū,Kākāpō,Morepork,NA,NA
Kea,Rockhopper Penguin,Black Robin,Orange-fronted Parakeet,Yellow-eyed penguin
New Zealand Robin,White-faced Heron,New Zealand Falcon,Yellow-eyed penguin,Black Robin
Southern Brown Kiwi,Barn Owl,Black Robin,Rockhopper Penguin,Royal Spoonbill
Australasian Crested Grebe,Fantail,Kererū,New Zealand Falcon,Buller's Mollymawk
Banded Dotterel,Yellow-eyed penguin,Orange-fronted Parakeet,Fairy Tern,Morepork
Yellow-eyed penguin,NA,NA,NA,NA
Blue Duck,Brown Teal,NA,NA,NA
Yellow-eyed penguin,Banded Dotterel,Blue Duck,Little Penguin,Whitehead
Barn Owl,Black Robin,Black-billed Gull,Morepork,Little Penguin
Kererū,Kākā,Kingfisher,Tūī,Morepork
Antipodean Albatross,Banded Dotterel,Black Robin,Black Stilt,Kea
Black Robin,Morepork,Rockhopper Penguin,New Zealand Falcon,Australasian Gannet
Southern Brown Kiwi,Kākāpō,Antipodean Albatross,Banded Dotterel,Orange-fronted Parakeet
Yellow-eyed penguin,NA,NA,NA,NA
Yellow-eyed penguin,NA,NA,NA,NA
Yellow-eyed penguin,Blue Duck,Takahē,New Zealand Falcon,Kākāpō
Black Stilt,Kākā,Saddleback,South Island Kōkako,Gibson's Albatross
Yellow-eyed penguin,Royal Spoonbill,Antipodean Albatross,Kingfisher,Kōkako
Bellbird,Tomtit,Tūī,South Island Kōkako,Black Robin
Morepork,Australasian Gannet,Kingfisher,Fantail,Little Penguin
Yellow-eyed penguin,Stitchbird,Kākā,Southern Royal Albatross,Southern Brown Kiwi
Fantail,Barn Owl,Bellbird,Chatham Island Mollymawk,Australasian Gannet
Yellow-eyed penguin,NA,NA,NA,NA
Black-billed Gull,Wrybill,Rifleman,Kākāpō,Saddleback
Fairy Tern,Banded Dotterel,Antipodean Albatross,Bar-tailed Godwit,New Zealand King Shag
Banded Dotterel,Black Robin,Grey Warbler,Black-fronted Tern,Little Penguin
Yellow-eyed penguin,Fairy Tern,Shore Plover,Black-billed Gull,Hutton's Shearwater
Banded Dotterel,Bittern,Black Robin,Chatham Island Mollymawk,Kākāpō
Yellow-eyed penguin,Kākāpō,Kingfisher,Northern Royal Albatross,The Otago Shag
Kākāpō,Little Penguin,North Island Brown Kiwi,Great Spotted Kiwi,Southern Brown Kiwi
Kea,Kererū,Fantail,Little Spotted Kiwi,Southern Brown Kiwi
Whenua Hou Diving Petrel,Blue Duck,Kākāpō,Rock Wren,Antipodean Albatross
Yellow-eyed penguin,Fiordland Crested Penguin,Little Spotted Kiwi,Chatham Island Oystercatcher,Chatham Island Mollymawk
Yellow-eyed penguin,NA,NA,NA,NA
Yellow-eyed penguin,Orange-fronted Parakeet,New Zealand Falcon,Banded Dotterel,Stitchbird
North Island Brown Kiwi,Barn Owl,Tomtit,Rockhopper Penguin,Morepork
Royal Spoonbill,Southern Royal Albatross,Banded Dotterel,Mōhua,Antipodean Albatross
Harrier,Tūī,Weka,Fantail,Pūkeko
Kererū,Rockhopper Penguin,Scaup,Royal Spoonbill,Westland Petrel
New Zealand Falcon,Kea,Black Robin,Banded Dotterel,Fairy Tern
Takahē,Tūī,Kererū,Black Stilt,Black-billed Gull
Tomtit,Kōkako,Little Penguin,Mōhua,Black Petrel
Takahē,Saddleback,Australasian Gannet,Rockhopper Penguin,Kererū
Fiordland Crested Penguin,Kea,Kākāpō,Morepork,Rifleman
Bar-tailed Godwit,NA,NA,NA,NA
Antipodean Albatross,Fiordland Crested Penguin,New Zealand Falcon,Yellow-eyed penguin,Kākā
Kererū,Kea,Rifleman,Yellow-eyed penguin,South Polar Skua
Kingfisher,Tūī,Silvereye,Banded Dotterel,Little Penguin
Yellow-eyed penguin,NA,NA,NA,NA
Scaup,North Island Brown Kiwi,New Zealand Dabchick,Rockhopper Penguin,Royal Spoonbill
White Heron,Welcome Swallow,Tūī,Stitchbird,Silvereye
Takahē,New Zealand Falcon,Fantail,Morepork,South Island Kōkako
Yellow-eyed penguin,Mōhua,Southern Brown Kiwi,Stitchbird,Orange-fronted Parakeet
Yellow-eyed penguin,Rockhopper Penguin,Fiordland Crested Penguin,Mōhua,Gibson's Albatross
Great Spotted Kiwi,Kea,Kererū,Kākāpō,Little Spotted Kiwi
Shore Plover,Fairy Tern,Chatham Island Oystercatcher,Blue Duck,Black Stilt
Blue Duck,Scaup,Brown Teal,Grey Duck,Yellow-eyed penguin
Yellow-eyed penguin,NA,NA,NA,NA
Kingfisher,Royal Spoonbill,Kea,Bittern,Black shag
Little Penguin,Grey Duck,Yellow-eyed penguin,Fiordland Crested Penguin,Rockhopper Penguin
Black Robin,Yellow-eyed penguin,Fiordland Crested Penguin,Kākāpō,Brown Teal
Bittern,South Island Kōkako,Little Spotted Kiwi,Kingfisher,Banded Dotterel
Tūī,Fantail,Orange-fronted Parakeet,Pūkeko,Black Robin
Fantail,Tūī,Kākāpō,New Zealand Falcon,Kingfisher
Blue Duck,Buller's Mollymawk,Fairy Tern,Kea,Rock Wren
Stitchbird,Kea,Kingfisher,Kākā,Morepork
Yellow-eyed penguin,NA,NA,NA,NA
Yellow-eyed penguin,Fiordland Crested Penguin,Brown Teal,Rockhopper Penguin,Black Petrel
Blue Duck,Little Penguin,Morepork,Rifleman,Shore Plover
Yellow-eyed penguin,White Heron,Kererū,NA,NA
New Zealand Dabchick,Kākāpō,Gibson's Albatross,Blue Duck,Banded Dotterel
Orange-fronted Parakeet,Blue Duck,Shore Plover,Fairy Tern,NA
Takahē,Whitehead,Black Robin,Blue Duck,Rockhopper Penguin
Kākāpō,Black Robin,Takahē,Tūī,Kea
Yellow-eyed penguin,Little Penguin,Rockhopper Penguin,Southern Royal Albatross,Antipodean Albatross
Barn Owl,Blue Duck,Kākāpō,Morepork,New Zealand Falcon
Blue Duck,Mōhua,Yellow-eyed penguin,Antipodean Albatross,Saddleback
Kea,Blue Duck,Kākā,Kōkako,Morepork
Yellow-eyed penguin,Morepork,Silvereye,Fiordland Crested Penguin,Fantail
Black Robin,Banded Dotterel,Yellow-eyed penguin,Black Stilt,Little Spotted Kiwi
Kākāpō,Kākā,Kea,Orange-fronted Parakeet,Little Spotted Kiwi
Banded Dotterel,Black Robin,Chatham Island Mollymawk,Fairy Tern,Shining Cuckoo
Blue Duck,NA,NA,NA,NA
Antipodean Albatross,New Zealand Dotterel,Wrybill,Yellow-eyed penguin,Fairy Tern
Yellow-eyed penguin,Black Robin,Rifleman,Barn Owl,Tomtit
Yellow-eyed penguin,Fiordland Crested Penguin,Kererū,Kākā,Little Spotted Kiwi
Mōhua,New Zealand Dotterel,Southern Brown Kiwi,Banded Dotterel,Stitchbird
Blue Duck,NA,NA,NA,NA
Yellow-eyed penguin,New Zealand Dabchick,Rock Wren,Banded Dotterel,Rifleman
Banded Dotterel,Black Robin,Black-billed Gull,Chatham Island Mollymawk,Gibson's Albatross
Kākā,Blue Duck,Morepork,Bellbird,Fantail
Yellow-eyed penguin,Royal Spoonbill,Fiordland Crested Penguin,Kingfisher,New Zealand Falcon
Black Stilt,Chatham Island Oystercatcher,Fairy Tern,Hutton's Shearwater,Little Spotted Kiwi
Banded Dotterel,Bittern,Black Robin,Black Stilt,Chatham Island Oystercatcher
New Zealand Dotterel,New Zealand Dabchick,Takahē,Tūī,Kākāpō
Kea,Kākāpō,Bellbird,Kōkako,Saddleback
Northern Royal Albatross,Bellbird,Tūī,Kererū,Kākā
Yellow-eyed penguin,Antipodean Albatross,Takahē,Kōkako,Black Stilt
Takahē,Blue Duck,NA,NA,NA
Yellow-eyed penguin,NA,NA,NA,NA
Blue Duck,Kōkako,Yellow-eyed penguin,Antipodean Albatross,Bellbird
Rockhopper Penguin,Kea,Southern Brown Kiwi,Stitchbird,Orange-fronted Parakeet
Banded Dotterel,New Zealand Dotterel,Saddleback,Yellow-eyed penguin,Mōhua
Yellow-eyed penguin,Mōhua,Antipodean Albatross,Orange-fronted Parakeet,Chatham Island Mollymawk
Kākāpō,Little Spotted Kiwi,Mōhua,Kea,Kererū
New Zealand Dabchick,Rifleman,Fairy Tern,Kea,New Zealand Dotterel
Mōhua,Blue Duck,Stitchbird,NA,NA
Yellow-eyed penguin,Little Penguin,Blue Duck,North Island Brown Kiwi,Orange-fronted Parakeet
Wrybill,NA,NA,NA,NA
Yellow-eyed penguin,Rockhopper Penguin,Gibson's Albatross,Fiordland Crested Penguin,New Zealand Falcon
Kea,Black Robin,Kākāpō,New Zealand Falcon,Harrier
Yellow-eyed penguin,Stitchbird,Blue Duck,Spotless Crake,Rock Wren
Antipodean Albatross,New Zealand Dotterel,Kākāpō,Black-billed Gull,Kōkako
South Island Kōkako,Banded Dotterel,New Zealand Dotterel,Whenua Hou Diving Petrel,Yellow-eyed penguin
New Zealand Falcon,Banded Dotterel,Black Robin,Black-billed Gull,Bar-tailed Godwit
Stitchbird,Fairy Tern,Mōhua,Kōkako,Yellow-eyed penguin
Fiordland Crested Penguin,Rockhopper Penguin,Little Penguin,Yellow-eyed penguin,Antipodean Albatross
Takahē,Kākāpō,Yellow-eyed penguin,Kākā,White Heron
Kea,Antipodean Albatross,New Zealand Falcon,Yellow-eyed penguin,Kākāpō
Bittern,Spotless Crake,Rock Wren,Kākā,Morepork
Banded Dotterel,Rock Wren,Rifleman,Bittern,Hutton's Shearwater
Kākāpō,Harrier,Yellow-eyed penguin,Black-billed Gull,Pūkeko
Yellow-eyed penguin,Blue Duck,Southern Royal Albatross,South Island Kōkako,Australasian Gannet
Little Penguin,NA,NA,NA,NA
Australasian Gannet,Kingfisher,Tūī,North Island Brown Kiwi,Kākā
