points_5,points_4,points_3,points_2,points_1
Morepork,Shore Plover,Saddleback,Black Robin,New Zealand Falcon
Mōhua,Stitchbird,Orange-fronted Parakeet,Tomtit,Kererū
Fantail,Stitchbird,Tūī,Pūkeko,Saddleback
Morepork,Black Robin,Chatham Island Oystercatcher,Banded Dotterel,Campbell Black-Browed Albatross
Black Robin,Kākāpō,Hutton's Shearwater,Black-billed Gull,NA
Antipodean Albatross,Banded Dotterel,Black Robin,Blue Duck,Chatham Island Mollymawk
Yellow-eyed penguin,NA,NA,NA,NA
North Island Brown Kiwi,Rockhopper Penguin,Fantail,Northern Royal Albatross,Yellow-eyed penguin
Kea,Little Penguin,Royal Spoonbill,Mōhua,Pūkeko
Morepork,Kingfisher,Kea,Orange-fronted Parakeet,Fiordland Crested Penguin
Black Robin,Kingfisher,Morepork,Fairy Tern,Welcome Swallow
Morepork,NA,NA,NA,NA
New Zealand Falcon,NA,NA,NA,NA
Yellow-eyed penguin,Blue Duck,Black Stilt,Black Petrel,New Zealand Dotterel
Yellow-eyed penguin,Rockhopper Penguin,Fiordland Crested Penguin,Gibson's Albatross,Antipodean Albatross
Antipodean Albatross,Banded Dotterel,Bittern,Black Robin,Black Stilt
Great Spotted Kiwi,Barn Owl,North Island Brown Kiwi,New Zealand Falcon,Kākāpō
Rockhopper Penguin,Little Penguin,Yellow-eyed penguin,Chatham Island Oystercatcher,Blue Duck
Black-fronted Tern,Fiordland Crested Penguin,Kākā,Little Penguin,Rockhopper Penguin
Fantail,Stitchbird,Barn Owl,Yellow-eyed penguin,Wrybill
New Zealand Dabchick,Barn Owl,Rockhopper Penguin,Yellow-eyed penguin,Antipodean Albatross
South Island Kōkako,Yellow-eyed penguin,Kōkako,Kākāpō,Tūī
Fairy Tern,White-faced Heron,Kākā,Kingfisher,Orange-fronted Parakeet
New Zealand Dabchick,New Zealand Falcon,Banded Dotterel,Stitchbird,South Island Kōkako
New Zealand Robin,Barn Owl,Rifleman,Kingfisher,Welcome Swallow
Bittern,Harrier,Antipodean Albatross,Australasian Gannet,New Zealand Falcon
Banded Dotterel,New Zealand Dabchick,Kea,Rock Wren,Chatham Island Oystercatcher
Rifleman,Stitchbird,Banded Dotterel,Australasian Crested Grebe,Fernbird
Great Spotted Kiwi,North Island Brown Kiwi,Barn Owl,Kākāpō,New Zealand Falcon
Yellow-eyed penguin,Rockhopper Penguin,Bittern,Fiordland Crested Penguin,Stitchbird
Yellow-eyed penguin,Kākā,Kākāpō,Kererū,NA
Yellow-eyed penguin,Mōhua,New Zealand Falcon,Kingfisher,Kākā
Stitchbird,Bellbird,Tūī,Kererū,Kingfisher
Kea,Kākāpō,South Island Kōkako,Takahē,Tomtit
Fantail,Banded Dotterel,Black-billed Gull,Yellow-eyed penguin,Blue Duck
Wrybill,New Zealand Falcon,Mōhua,Blue Duck,Kākā
Tūī,Silvereye,Kea,Banded Dotterel,Little Penguin
Rifleman,Silvereye,Great Spotted Kiwi,Kākāpō,Southern Brown Kiwi
Spotted Shag,Harrier,Morepork,Rifleman,Orange-fronted Parakeet
Morepork,Tūī,Bellbird,Fantail,Silvereye
Fairy Tern,South Island Kōkako,Morepork,Royal Spoonbill,Rockhopper Penguin
Rockhopper Penguin,Banded Dotterel,Rifleman,Fantail,Kingfisher
Yellow-eyed penguin,NA,NA,NA,NA
Takahē,Kōkako,New Zealand Dotterel,White Heron,Morepork
Yellow-eyed penguin,Kākāpō,Black Stilt,Blue Duck,Kākā
Kākāpō,Black Robin,Yellow-eyed penguin,Black Stilt,Kākā
Kererū,Rifleman,Kākā,Brown Teal,Little Penguin
Antipodean Albatross,Saddleback,Silvereye,South Island Kōkako,Blue Duck
Kākā,Morepork,Kingfisher,Fantail,Tūī
Tūī,Yellow-eyed penguin,Kākāpō,Kea,Antipodean Albatross
Fairy Tern,Brown Teal,Kākāpō,Fantail,Blue Duck
Kākāpō,Barn Owl,Morepork,Orange-fronted Parakeet,Kea
Fairy Tern,Shore Plover,Buller's Mollymawk,Rock Wren,Orange-fronted Parakeet
Kea,Black Robin,Kākāpō,Fiordland Crested Penguin,Rockhopper Penguin
New Zealand Falcon,Stitchbird,Saddleback,Kākā,Rifleman
Yellow-eyed penguin,Little Spotted Kiwi,Chatham Island Oystercatcher,Whenua Hou Diving Petrel,Kākā
Antipodean Albatross,Black Petrel,Black Robin,Banded Dotterel,Barn Owl
New Zealand Falcon,New Zealand Dotterel,Fantail,Morepork,Barn Owl
Kea,Barn Owl,Kākā,Kākāpō,Southern Brown Kiwi
Royal Spoonbill,Weka,Rifleman,Variable Oystercatcher,Wrybill
Yellow-eyed penguin,Black Robin,New Zealand Falcon,Kākā,Saddleback
Southern Brown Kiwi,Great Spotted Kiwi,Stitchbird,Takahē,Kea
New Zealand Dotterel,Banded Dotterel,Southern Brown Kiwi,Hutton's Shearwater,Black-billed Gull
Rockhopper Penguin,South Island Kōkako,Australasian Crested Grebe,Banded Dotterel,NA
Yellow-eyed penguin,Tūī,Kingfisher,Rockhopper Penguin,Shore Plover
New Zealand Robin,Tomtit,Kererū,Black Robin,Rifleman
Yellow-eyed penguin,NA,NA,NA,NA
Yellow-eyed penguin,Chatham Island Mollymawk,Gibson's Albatross,Antipodean Albatross,Kākāpō
Tūī,Kākā,Fantail,Takahē,Shore Plover
Kākāpō,Morepork,Tūī,Harrier,New Zealand Robin
Kākāpō,Kea,Fantail,Little Penguin,Tūī
Antipodean Albatross,Black Stilt,Black-billed Gull,Chatham Island Mollymawk,Chatham Island Oystercatcher
Rockhopper Penguin,Fiordland Crested Penguin,Yellow-eyed penguin,Shore Plover,Orange-fronted Parakeet
Kererū,Kākāpō,Black Robin,Great Spotted Kiwi,Yellow-eyed penguin
Yellow-eyed penguin,South Island Kōkako,Whenua Hou Diving Petrel,Chatham Island Oystercatcher,New Zealand Dotterel
Black Robin,Antipodean Albatross,Fiordland Crested Penguin,Great Spotted Kiwi,Kererū
Fantail,Bellbird,Rockhopper Penguin,Tūī,Banded Dotterel
Kākā,Morepork,Kererū,New Zealand Falcon,Orange-fronted Parakeet
Stitchbird,Tomtit,Welcome Swallow,Westland Petrel,White Heron
Banded Dotterel,Black Stilt,Chatham Island Oystercatcher,Yellow-eyed penguin,Kākā
Yellow-eyed penguin,Fiordland Crested Penguin,Rockhopper Penguin,Little Penguin,Black Stilt
Black Robin,Stitchbird,Morepork,Rock Wren,Gibson's Albatross
Kea,Fantail,Kererū,Kākāpō,Antipodean Albatross
Black Robin,Kākāpō,Little Spotted Kiwi,Barn Owl,Gibson's Albatross
Yellow-eyed penguin,Kingfisher,Black Robin,Tomtit,Harrier
Variable Oystercatcher,Saddleback,Antipodean Albatross,Kōkako,Black Robin
Rifleman,Kākā,Black Robin,Yellow-eyed penguin,Kererū
Mōhua,Fiordland Crested Penguin,Banded Dotterel,Barn Owl,Takahē
Little Penguin,Kingfisher,Tūī,Fantail,New Zealand Falcon
Orange-fronted Parakeet,Stitchbird,Black Stilt,Takahē,Black Robin
Grey Warbler,Takahē,Little Penguin,Kōkako,Bellbird
Yellow-eyed penguin,NA,NA,NA,NA
Antipodean Albatross,Morepork,South Island Kōkako,Little Penguin,Black Petrel
New Zealand Dabchick,Takahē,Pūkeko,Black shag,Royal Spoonbill
Kākā,Little Penguin,Blue Duck,Orange-fronted Parakeet,Hutton's Shearwater
New Zealand Dabchick,Barn Owl,Rockhopper Penguin,Whitehead,Morepork
Royal Spoonbill,Yellow-eyed penguin,Bittern,Black-billed Gull,Blue Duck
Southern Brown Kiwi,Mōhua,Antipodean Albatross,Great Spotted Kiwi,North Island Brown Kiwi
Antipodean Albatross,Southern Brown Kiwi,Great Spotted Kiwi,Takahē,Harrier
Saddleback,Kererū,Welcome Swallow,Yellow-eyed penguin,Pūkeko
Orange-fronted Parakeet,Takahē,Antipodean Albatross,Black Robin,Yellow-eyed penguin
Kākāpō,Yellow-eyed penguin,Kākā,Little Spotted Kiwi,Chatham Island Mollymawk
Black shag,Antipodean Albatross,Fantail,Mōhua,South Island Pied Oystercatcher
Bittern,Kākā,Kākāpō,Southern Brown Kiwi,Yellow-eyed penguin
Yellow-eyed penguin,NA,NA,NA,NA
Kākāpō,Black shag,Little Spotted Kiwi,Southern Brown Kiwi,NA
Yellow-eyed penguin,Little Spotted Kiwi,Kea,Tūī,Mōhua
Tūī,Kākāpō,White-faced Heron,Rifleman,Fernbird
Fantail,Banded Dotterel,Yellow-eyed penguin,Kingfisher,Black Robin
Orange-fronted Parakeet,Stitchbird,Kererū,Kākā,South Island Kōkako
Banded Dotterel,Kākā,Kākāpō,Blue Duck,Orange-fronted Parakeet
Little Penguin,New Zealand Dotterel,Mōhua,Southern Brown Kiwi,Kererū
Black Robin,Kea,Kererū,Kākāpō,Little Penguin
Blue Duck,Black Stilt,Saddleback,Shining Cuckoo,Rifleman
Yellow-eyed penguin,Kākāpō,Little Spotted Kiwi,Rockhopper Penguin,Little Penguin
Tūī,Black Stilt,Kōkako,Little Spotted Kiwi,Silvereye
Yellow-eyed penguin,Weka,Southern Brown Kiwi,Royal Spoonbill,Kākāpō
Yellow-eyed penguin,NA,NA,NA,NA
Kākāpō,Kererū,Kea,Fantail,Antipodean Albatross
Little Penguin,Fiordland Crested Penguin,Rockhopper Penguin,Yellow-eyed penguin,Fantail
Shining Cuckoo,New Zealand Falcon,Scaup,Saddleback,Stitchbird
Yellow-eyed penguin,Fantail,Southern Brown Kiwi,Tomtit,Fiordland Crested Penguin
Australasian Gannet,Blue Duck,Antipodean Albatross,New Zealand Falcon,Bar-tailed Godwit
Tūī,Kingfisher,Kākāpō,Fantail,Rockhopper Penguin
Yellow-eyed penguin,Rockhopper Penguin,Fiordland Crested Penguin,Black Robin,Kākā
Australasian Crested Grebe,Little Penguin,Kea,Fantail,Pūkeko
Orange-fronted Parakeet,New Zealand Dotterel,Mōhua,Blue Duck,Gibson's Albatross
Banded Dotterel,Little Penguin,Little Spotted Kiwi,Rock Wren,NA
Shore Plover,Yellow-eyed penguin,Black-billed Gull,Rockhopper Penguin,Kākā
Yellow-eyed penguin,Fiordland Crested Penguin,Tūī,Takahē,Fantail
Yellow-eyed penguin,South Island Kōkako,Fairy Tern,Shore Plover,Little Spotted Kiwi
Kākāpō,Orange-fronted Parakeet,Little Spotted Kiwi,Kingfisher,New Zealand Falcon
Kākāpō,Southern Brown Kiwi,Black Robin,Little Penguin,Little Spotted Kiwi
Fiordland Crested Penguin,Rockhopper Penguin,Southern Royal Albatross,New Zealand King Shag,Black-billed Gull
Little Penguin,Rockhopper Penguin,Rifleman,Tūī,Kea
New Zealand Dotterel,Tomtit,Kererū,Little Penguin,Rockhopper Penguin
New Zealand Falcon,Harrier,Welcome Swallow,Little Penguin,Tūī
Welcome Swallow,Saddleback,Shore Plover,Fairy Tern,Chatham Island Mollymawk
North Island Brown Kiwi,Rockhopper Penguin,Yellow-eyed penguin,Kea,Fiordland Crested Penguin
Black Robin,Rifleman,Antipodean Albatross,South Island Kōkako,Blue Duck
Hutton's Shearwater,Banded Dotterel,Shore Plover,South Island Kōkako,Kākāpō
New Zealand Falcon,Saddleback,Blue Duck,Stitchbird,Morepork
Yellow-eyed penguin,NA,NA,NA,NA
Bar-tailed Godwit,Shore Plover,Antipodean Albatross,Hutton's Shearwater,Chatham Island Mollymawk
Banded Dotterel,Bittern,Hutton's Shearwater,Black Robin,Shore Plover
Kererū,Kākāpō,Black Robin,Mōhua,Rockhopper Penguin
White Heron,Orange-fronted Parakeet,Black-billed Gull,Rockhopper Penguin,Kōkako
Yellow-eyed penguin,Kea,Fantail,Saddleback,Chatham Island Mollymawk
Yellow-eyed penguin,Fantail,Kākāpō,Kākā,Kea
Antipodean Albatross,Fantail,Southern Brown Kiwi,Orange-fronted Parakeet,Yellow-eyed penguin
Kererū,Banded Dotterel,Hutton's Shearwater,Antipodean Albatross,Shore Plover
Mōhua,New Zealand Dotterel,Southern Brown Kiwi,Orange-fronted Parakeet,The Otago Shag
Yellow-eyed penguin,The Otago Shag,Northern Royal Albatross,Antipodean Albatross,Southern Royal Albatross
Banded Dotterel,Kererū,Kingfisher,Silvereye,Barn Owl
Rockhopper Penguin,Yellow-eyed penguin,Little Penguin,Blue Duck,Black shag
Mōhua,Antipodean Albatross,Fantail,Northern Royal Albatross,Pūkeko
Fantail,Rockhopper Penguin,Kākāpō,Barn Owl,New Zealand Falcon
Rifleman,Bittern,Rockhopper Penguin,Fantail,Fairy Tern
Kea,Rifleman,Rockhopper Penguin,Yellow-eyed penguin,Black Robin
Yellow-eyed penguin,NA,NA,NA,NA
Kea,Morepork,Yellow-eyed penguin,Rockhopper Penguin,North Island Brown Kiwi
Yellow-eyed penguin,NA,NA,NA,NA
Kererū,Fantail,Little Penguin,Bellbird,Tūī
Antipodean Albatross,Harrier,Salvin's Mollymawk,Kingfisher,Kākā
Morepork,Yellow-eyed penguin,Tomtit,Black Robin,Kākāpō
Yellow-eyed penguin,Gibson's Albatross,Orange-fronted Parakeet,Fairy Tern,Chatham Island Oystercatcher
Antipodean Albatross,Fairy Tern,Little Penguin,Black shag,Rockhopper Penguin
Southern Brown Kiwi,Grey Duck,Barn Owl,Tūī,Yellow-eyed penguin
Kākāpō,Rockhopper Penguin,Black Robin,New Zealand Dotterel,Southern Brown Kiwi
Yellow-eyed penguin,Takahē,Black-fronted Tern,Little Penguin,NA
Antipodean Albatross,Great Spotted Kiwi,Mōhua,Barn Owl,Black-fronted Tern
Yellow-eyed penguin,NA,NA,NA,NA
Rockhopper Penguin,Kākāpō,Takahē,Pied Shag,Little Penguin
Yellow-eyed penguin,Whenua Hou Diving Petrel,Kākā,Hutton's Shearwater,Black Robin
Yellow-eyed penguin,Little Spotted Kiwi,Black-billed Gull,Kea,Northern Royal Albatross
Barn Owl,New Zealand Falcon,Mōhua,Rockhopper Penguin,Antipodean Albatross
Antipodean Albatross,New Zealand Dotterel,Southern Brown Kiwi,Gibson's Albatross,Yellow-eyed penguin
Yellow-eyed penguin,Hutton's Shearwater,Black-billed Gull,Kākā,Fiordland Crested Penguin
Southern Brown Kiwi,Barn Owl,Black Robin,Yellow-eyed penguin,South Island Kōkako
Little Spotted Kiwi,Southern Brown Kiwi,Little Penguin,Fiordland Crested Penguin,Black-fronted Tern
Barn Owl,Black shag,Chatham Island Oystercatcher,Kākā,Morepork
Yellow-eyed penguin,Rock Wren,Grey Warbler,Rockhopper Penguin,Wrybill
Yellow-eyed penguin,Little Spotted Kiwi,Chatham Island Mollymawk,Morepork,Fairy Tern
Rockhopper Penguin,Antipodean Albatross,Kākāpō,Little Penguin,Black-billed Gull
Yellow-eyed penguin,Fiordland Crested Penguin,Southern Brown Kiwi,Great Spotted Kiwi,Black Robin
Yellow-eyed penguin,Little Penguin,Tūī,Antipodean Albatross,The Otago Shag
Mōhua,Black Robin,Blue Duck,Fiordland Crested Penguin,Yellow-eyed penguin
New Zealand Falcon,Blue Duck,Little Penguin,Little Spotted Kiwi,Kingfisher
Fantail,Kingfisher,Saddleback,Tūī,Mōhua
Kea,Great Spotted Kiwi,Rifleman,Kākā,Mōhua
Yellow-eyed penguin,Little Spotted Kiwi,Orange-fronted Parakeet,Pūkeko,Takahē
Yellow-eyed penguin,Great Spotted Kiwi,North Island Brown Kiwi,New Zealand Dotterel,Pūkeko
Fairy Tern,Northern Royal Albatross,Banded Dotterel,New Zealand Dotterel,Black Robin
Spotted Shag,Kererū,Rockhopper Penguin,Morepork,NA
Antipodean Albatross,Kea,Kererū,Rockhopper Penguin,Yellow-eyed penguin
Morepork,Antipodean Albatross,Kākāpō,Yellow-eyed penguin,Harrier
Antipodean Albatross,Yellow-eyed penguin,Little shag,Wrybill,Barn Owl
Yellow-eyed penguin,NA,NA,NA,NA
Antipodean Albatross,Fiordland Crested Penguin,Southern Brown Kiwi,Southern Royal Albatross,Yellow-eyed penguin
Yellow-eyed penguin,South Island Kōkako,Little Penguin,Antipodean Albatross,Kākā
Yellow-eyed penguin,Little Spotted Kiwi,Kākāpō,Pūkeko,Kea
Banded Dotterel,Barn Owl,Little Penguin,Little Spotted Kiwi,Harrier
Yellow-eyed penguin,Little Spotted Kiwi,Campbell Black-Browed Albatross,Pūkeko,North Island Brown Kiwi
Barn Owl,North Island Brown Kiwi,Pūkeko,Yellow-eyed penguin,Little Penguin
Great Spotted Kiwi,North Island Brown Kiwi,Yellow-eyed penguin,Antipodean Albatross,Fantail
Black Robin,Black-billed Gull,Blue Duck,Kākā,Kākāpō
Southern Brown Kiwi,New Zealand Dotterel,Banded Dotterel,Orange-fronted Parakeet,Bittern
Barn Owl,Chatham Island Oystercatcher,Fantail,Kererū,Kākā
Yellow-eyed penguin,Little Spotted Kiwi,Antipodean Albatross,Fantail,Great Spotted Kiwi
Kea,Shore Plover,Yellow-eyed penguin,Little Spotted Kiwi,Little Penguin
New Zealand Falcon,Great Spotted Kiwi,Yellow-eyed penguin,Antipodean Albatross,Little Spotted Kiwi
White Heron,Antipodean Albatross,Kererū,New Zealand Dotterel,Bittern
Southern Brown Kiwi,Mōhua,Antipodean Albatross,Kākāpō,North Island Brown Kiwi
Rockhopper Penguin,Little Penguin,Tūī,Tomtit,Yellow-eyed penguin
Antipodean Albatross,Blue Duck,Fiordland Crested Penguin,Little Spotted Kiwi,Southern Brown Kiwi
Yellow-eyed penguin,Black Robin,Fairy Tern,Gibson's Albatross,Little Spotted Kiwi
Blue Duck,Little Penguin,Kingfisher,Antipodean Albatross,New Zealand Falcon
Antipodean Albatross,Fairy Tern,Takahē,New Zealand Falcon,South Polar Skua
Yellow-eyed penguin,NA,NA,NA,NA
Fiordland Crested Penguin,Southern Brown Kiwi,Great Spotted Kiwi,North Island Brown Kiwi,Takahē
Yellow-eyed penguin,Little Spotted Kiwi,Rockhopper Penguin,Barn Owl,Kākā
Mōhua,Kākāpō,Kākā,Black-billed Gull,Black Stilt
Kākāpō,Orange-fronted Parakeet,Stitchbird,Silvereye,Little Penguin
Antipodean Albatross,Mōhua,New Zealand Dotterel,Gibson's Albatross,Takahē
Yellow-eyed penguin,Kākā,Kākāpō,Southern Brown Kiwi,Antipodean Albatross
Rockhopper Penguin,Gibson's Albatross,Blue Duck,Mōhua,Yellow-eyed penguin
Antipodean Albatross,Great Spotted Kiwi,Yellow-eyed penguin,Silvereye,Fairy Tern
Yellow-eyed penguin,The Otago Shag,Northern Royal Albatross,Antipodean Albatross,Southern Royal Albatross
Australasian Crested Grebe,Australasian Gannet,Blue Duck,White Heron,Yellow-eyed penguin
Kākā,South Island Kōkako,Kākāpō,Orange-fronted Parakeet,Tūī
Kererū,Southern Royal Albatross,Pūkeko,Yellow-eyed penguin,Tūī
Yellow-eyed penguin,Whitehead,North Island Brown Kiwi,New Zealand Robin,Australasian Crested Grebe
Kākā,Little Spotted Kiwi,New Zealand Dotterel,North Island Brown Kiwi,Great Spotted Kiwi
Fantail,Great Spotted Kiwi,Barn Owl,Rockhopper Penguin,Royal Spoonbill
Yellow-eyed penguin,Barn Owl,Kererū,Black-billed Gull,Mōhua
Hutton's Shearwater,North Island Brown Kiwi,Barn Owl,Fantail,Black Robin
Little Spotted Kiwi,Mōhua,Black Stilt,Black Robin,Southern Brown Kiwi
Grey Warbler,New Zealand Falcon,North Island Brown Kiwi,Tūī,Morepork
Fantail,Southern Brown Kiwi,Kōkako,Little Penguin,Blue Duck
Kererū,Kingfisher,Barn Owl,Silvereye,Little Penguin
Yellow-eyed penguin,Kākāpō,Kākā,Orange-fronted Parakeet,New Zealand Dotterel
Black-billed Gull,Morepork,Yellow-eyed penguin,Fairy Tern,Hutton's Shearwater
Wrybill,South Island Kōkako,Black Robin,Antipodean Albatross,Fairy Tern
Kea,Kākāpō,Black Robin,Bittern,Blue Duck
Rockhopper Penguin,Kākāpō,Blue Duck,White Heron,Morepork
Mōhua,New Zealand Dotterel,Banded Dotterel,Stitchbird,Kōkako
Yellow-eyed penguin,Morepork,Silvereye,Kākāpō,Kea
Fiordland Crested Penguin,Southern Royal Albatross,New Zealand Robin,North Island Brown Kiwi,Harrier
South Island Pied Oystercatcher,Fiordland Crested Penguin,Little Spotted Kiwi,Great Spotted Kiwi,Barn Owl
Kākāpō,Fantail,Orange-fronted Parakeet,Pūkeko,Morepork
Wrybill,NA,NA,NA,NA
Morepork,Fantail,Great Spotted Kiwi,Kingfisher,Rifleman
Fantail,Kea,Little Penguin,New Zealand Falcon,Tomtit
Mōhua,South Island Pied Oystercatcher,New Zealand Dabchick,Fiordland Crested Penguin,Australasian Crested Grebe
Kea,Kākā,Kākāpō,New Zealand Falcon,Weka
Blue Duck,Yellow-eyed penguin,North Island Brown Kiwi,New Zealand Falcon,Whenua Hou Diving Petrel
Yellow-eyed penguin,Antipodean Albatross,Kererū,Southern Brown Kiwi,Southern Royal Albatross
Kākāpō,Bellbird,South Island Kōkako,Kōkako,Little Spotted Kiwi
Orange-fronted Parakeet,Black-billed Gull,Whenua Hou Diving Petrel,Fairy Tern,Yellow-eyed penguin
Rifleman,Banded Dotterel,Barn Owl,Little Penguin,Silvereye
Antipodean Albatross,Barn Owl,Kea,Kererū,Rock Wren
Southern Brown Kiwi,Banded Dotterel,Kea,Orange-fronted Parakeet,Rockhopper Penguin
Great Spotted Kiwi,Kea,Kākā,Morepork,Kākāpō
Grey Warbler,Fantail,Black Robin,Welcome Swallow,Kōkako
Kea,Kākāpō,Little Spotted Kiwi,Shore Plover,Antipodean Albatross
Morepork,Kākāpō,Kākā,Weka,Kea
Antipodean Albatross,Fiordland Crested Penguin,New Zealand Falcon,Morepork,Shore Plover
Yellow-eyed penguin,New Zealand Falcon,Rockhopper Penguin,Little shag,Morepork
Antipodean Albatross,Fiordland Crested Penguin,Rifleman,Royal Spoonbill,Tomtit
Buller's Mollymawk,Kākāpō,Tomtit,Chatham Island Mollymawk,Southern Brown Kiwi
Little Spotted Kiwi,Southern Brown Kiwi,Fantail,Little Penguin,Kingfisher
Rifleman,Banded Dotterel,Tūī,Fantail,Shore Plover
Australasian Crested Grebe,Banded Dotterel,Bittern,Black Robin,Great Spotted Kiwi
Yellow-eyed penguin,Northern Royal Albatross,Kererū,Royal Spoonbill,White Heron
Southern Brown Kiwi,Black Robin,New Zealand Dotterel,Little Spotted Kiwi,Kākāpō
Kingfisher,New Zealand Falcon,Little Penguin,Tūī,Kākāpō
Yellow-eyed penguin,Takahē,New Zealand Falcon,Tūī,Kererū
Antipodean Albatross,South Island Pied Oystercatcher,Fernbird,Kererū,Fairy Tern
Stitchbird,Kākāpō,Fantail,New Zealand Robin,Blue Duck
New Zealand Falcon,Harrier,Black Petrel,Black Robin,Little Penguin
North Island Brown Kiwi,Orange-fronted Parakeet,Little Spotted Kiwi,Kākāpō,Harrier
Black Robin,Kingfisher,Black-fronted Tern,Kākāpō,South Island Kōkako
Kākā,Kākāpō,Kea,Black shag,Little Spotted Kiwi
New Zealand Dabchick,Australasian Crested Grebe,Fiordland Crested Penguin,Orange-fronted Parakeet,Hutton's Shearwater
Kea,Kākāpō,Morepork,Tūī,Kākā
Little Spotted Kiwi,Southern Brown Kiwi,Black Robin,Kākāpō,Kākā
Black Robin,Welcome Swallow,Silvereye,Fantail,New Zealand Robin
Kākāpō,Kea,Kingfisher,Morepork,Rifleman
Fantail,Harrier,Rifleman,White-faced Heron,Welcome Swallow
Antipodean Albatross,New Zealand Dabchick,Southern Royal Albatross,Campbell Black-Browed Albatross,Little Spotted Kiwi
Kingfisher,Kākā,Kākāpō,Blue Duck,New Zealand Falcon
Morepork,Kākāpō,Barn Owl,Great Spotted Kiwi,Saddleback
Rifleman,Stitchbird,Southern Royal Albatross,Kingfisher,New Zealand Falcon
Little Spotted Kiwi,Southern Brown Kiwi,Fantail,Little Penguin,Kingfisher
Yellow-eyed penguin,Antipodean Albatross,Mōhua,Gibson's Albatross,Bittern
Whenua Hou Diving Petrel,Fairy Tern,The Otago Shag,Shore Plover,Blue Duck
Fantail,Barn Owl,North Island Brown Kiwi,Kea,Tūī
Banded Dotterel,Chatham Island Oystercatcher,Tūī,Black Robin,New Zealand Dabchick
Antipodean Albatross,Yellow-eyed penguin,Orange-fronted Parakeet,Chatham Island Oystercatcher,Southern Royal Albatross
Yellow-eyed penguin,Kākāpō,Black Robin,Kea,Antipodean Albatross
New Zealand Dabchick,Little Penguin,Southern Brown Kiwi,Fiordland Crested Penguin,Morepork
Little Penguin,Black Robin,Little Spotted Kiwi,Stitchbird,Kākāpō
Morepork,Kingfisher,Chatham Island Mollymawk,Light-mantled Sooty Albatross,Black-billed Gull
Tūī,Kererū,Rockhopper Penguin,Fiordland Crested Penguin,Kea
Whenua Hou Diving Petrel,Little Penguin,Yellow-eyed penguin,Little Spotted Kiwi,Fairy Tern
New Zealand Falcon,Pied Shag,Variable Oystercatcher,Fantail,Grey Warbler
Southern Brown Kiwi,Banded Dotterel,Takahē,Black Robin,Kōkako
Mōhua,Southern Brown Kiwi,Orange-fronted Parakeet,Little Penguin,Rifleman
Yellow-eyed penguin,Kākāpō,Kākā,North Island Brown Kiwi,Southern Brown Kiwi
Black Robin,Yellow-eyed penguin,Black Stilt,Kākā,Morepork
Bellbird,Shore Plover,Black-billed Gull,White Heron,Southern Royal Albatross
Yellow-eyed penguin,NA,NA,NA,NA
Kākāpō,Kōkako,Saddleback,Royal Spoonbill,Fiordland Crested Penguin
Fairy Tern,Blue Duck,Banded Dotterel,Antipodean Albatross,Kākāpō
Fernbird,Bittern,Rifleman,Blue Duck,Morepork
Yellow-eyed penguin,Blue Duck,Kākā,Kea,Tūī
Tomtit,Rifleman,Rockhopper Penguin,Royal Spoonbill,NA
Yellow-eyed penguin,NA,NA,NA,NA
Gibson's Albatross,Orange-fronted Parakeet,Tūī,Antipodean Albatross,Kākā
Harrier,Rifleman,Little Penguin,Silvereye,Mōhua
Harrier,Black Robin,Black-billed Gull,Chatham Island Mollymawk,Chatham Island Oystercatcher
Barn Owl,Yellow-eyed penguin,Silvereye,North Island Brown Kiwi,New Zealand Falcon
Harrier,Kea,Kingfisher,Barn Owl,Little Spotted Kiwi
Harrier,Southern Brown Kiwi,Antipodean Albatross,Banded Dotterel,Hutton's Shearwater
Harrier,Black-billed Gull,Great Spotted Kiwi,Southern Brown Kiwi,Grey Duck
Kererū,Barn Owl,New Zealand Falcon,Yellow-eyed penguin,North Island Brown Kiwi
Black Robin,Harrier,Fiordland Crested Penguin,Rockhopper Penguin,Little Penguin
South Island Pied Oystercatcher,Antipodean Albatross,Barn Owl,Kingfisher,Kākā
Kea,Fairy Tern,Morepork,Silvereye,Little shag
Harrier,Kea,Little Spotted Kiwi,Kākāpō,Morepork
Kākāpō,Harrier,Southern Brown Kiwi,New Zealand Falcon,Fantail
Gibson's Albatross,Royal Spoonbill,Rockhopper Penguin,Bittern,Banded Dotterel
Fernbird,Kākāpō,Chatham Island Mollymawk,Yellow-eyed penguin,Tūī
Orange-fronted Parakeet,Black Robin,Kākā,Little Spotted Kiwi,South Island Kōkako
Mōhua,Great Spotted Kiwi,Spotted Shag,Barn Owl,New Zealand King Shag
Yellow-eyed penguin,NA,NA,NA,NA
Mōhua,The Otago Shag,Orange-fronted Parakeet,Hutton's Shearwater,Black Robin
Rock Wren,Black Petrel,Chatham Island Mollymawk,Chatham Island Oystercatcher,Little Spotted Kiwi
Kererū,Barn Owl,Southern Brown Kiwi,Tūī,NA
Hutton's Shearwater,Kererū,Black Robin,Stitchbird,Harrier
Kākāpō,Little Spotted Kiwi,Black Robin,Rifleman,Little Penguin
Kea,Kākā,Kākāpō,Southern Brown Kiwi,Kererū
Yellow-eyed penguin,Little Penguin,Orange-fronted Parakeet,Barn Owl,Antipodean Albatross
Southern Brown Kiwi,Little Spotted Kiwi,North Island Brown Kiwi,Great Spotted Kiwi,Kea
